ENSG00000000003	X	99873667	99883667	-
ENSG00000000005	X	99854882	99864882	+
ENSG00000000419	20	49541404	49551404	-
ENSG00000000457	1	169811804	169821804	-
ENSG00000000460	1	169823221	169833221	+
ENSG00000000938	1	27928575	27938575	-
ENSG00000000971	1	196716634	196726634	+
ENSG00000001036	6	143805948	143815948	-
ENSG00000001084	6	53352139	53362139	-
ENSG00000001167	6	41067715	41077715	+
ENSG00000001460	1	24673489	24683489	-
ENSG00000001461	1	24795797	24805797	+
ENSG00000001497	X	64722462	64732462	-
ENSG00000001561	6	46114436	46124436	+
ENSG00000001617	3	50226508	50236508	+
ENSG00000001626	7	117308715	117318715	+
ENSG00000001629	7	92030698	92040698	+
ENSG00000001630	7	91731465	91741465	-
ENSG00000001631	7	91818283	91828283	-
ENSG00000002016	12	1011243	1021243	-
ENSG00000002330	11	64027302	64037302	-
ENSG00000002549	4	17609591	17619591	+
ENSG00000002586	X	2659350	2669350	+
ENSG00000002587	4	11384774	11394774	-
ENSG00000002726	7	150558592	150568592	+
ENSG00000002745	7	120981158	120991158	+
ENSG00000002746	7	43605600	43615600	+
ENSG00000002822	7	1845430	1855430	-
ENSG00000002834	17	37078023	37088023	+
ENSG00000002919	17	46200436	46210436	+
ENSG00000002933	7	150502197	150512197	+
ENSG00000003056	12	9082961	9092961	-
ENSG00000003096	X	117021777	117031777	-
ENSG00000003137	2	72346367	72356367	-
ENSG00000003147	7	8142814	8152814	-
ENSG00000003249	16	90061273	90071273	-
ENSG00000003393	2	202555277	202565277	-
ENSG00000003400	2	202086388	202096388	+
ENSG00000003402	2	202041410	202051410	+
ENSG00000003436	2	188318960	188328960	-
ENSG00000003509	2	37476303	37486303	+
ENSG00000003756	3	50156454	50166454	+
ENSG00000003987	8	17145539	17155539	-
ENSG00000003989	8	17428070	17438070	+
ENSG00000004059	7	127231759	127241759	+
ENSG00000004139	17	26728065	26738065	+
ENSG00000004142	17	26663659	26673659	-
ENSG00000004399	3	129264018	129274018	-
ENSG00000004455	1	33468645	33478645	-
ENSG00000004468	4	15854853	15864853	+
ENSG00000004478	12	2913124	2923124	+
ENSG00000004487	1	23410181	23420181	+
ENSG00000004534	3	50114683	50124683	+
ENSG00000004660	17	3758451	3768451	-
ENSG00000004700	12	21611845	21621845	-
ENSG00000004766	7	92988338	92998338	+
ENSG00000004776	19	36235469	36245469	-
ENSG00000004777	19	36279724	36289724	+
ENSG00000004779	16	23583192	23593192	-
ENSG00000004799	7	95202811	95212811	-
ENSG00000004809	6	110735890	110745890	-
ENSG00000004838	3	50368541	50378541	-
ENSG00000004846	7	20796632	20806632	+
ENSG00000004848	X	25011811	25021811	-
ENSG00000004864	7	95739533	95749533	-
ENSG00000004866	7	116863961	116873961	+
ENSG00000004897	17	45187621	45197621	-
ENSG00000004939	17	42315753	42325753	-
ENSG00000004948	7	93043799	93053799	-
ENSG00000004961	X	11141198	11151198	+
ENSG00000004975	17	7118660	7128660	-
ENSG00000005001	16	2892728	2902728	-
ENSG00000005007	19	18979045	18989045	+
ENSG00000005020	7	26696681	26706681	-
ENSG00000005022	X	118605282	118615282	+
ENSG00000005059	4	110609874	110619874	+
ENSG00000005073	7	27211134	27221134	-
ENSG00000005075	7	102103565	102113565	-
ENSG00000005100	17	5334232	5344232	-
ENSG00000005102	17	41707756	41717756	-
ENSG00000005108	7	11399984	11409984	-
ENSG00000005156	17	33332083	33342083	+
ENSG00000005175	12	48047070	48057070	-
ENSG00000005187	16	20808903	20818903	+
ENSG00000005189	16	20860987	20870987	+
ENSG00000005194	16	57452081	57462081	-
ENSG00000005238	9	35094120	35104120	-
ENSG00000005243	17	46093535	46103535	-
ENSG00000005249	7	106802256	106812256	+
ENSG00000005302	X	11793870	11803870	+
ENSG00000005339	16	3765055	3775055	-
ENSG00000005379	17	56369632	56379632	-
ENSG00000005381	17	56337217	56347217	-
ENSG00000005421	7	94916988	94926988	-
ENSG00000005436	2	75879832	75889832	-
ENSG00000005448	2	74652882	74662882	+
ENSG00000005469	7	87028797	87038797	+
ENSG00000005471	7	87021365	87031365	-
ENSG00000005483	7	104754532	104764532	+
